Tweet
"Pinned
Elon Musk
@elonmusk
·
9h
Download the Grok app and tap on Imagine to use 
https://apps.apple.com/app/id6670324846…
Quote
Ritesh Lal — /acc
@LalRitesh
·
10h
Replying to @YunTaTsai1
@Grok imagine is one of the most mindblowing things I have ever experienced. Made from a still image.
The media could not be played.
Reload
2.3K
1.8K
7.1K
2.3M"
"Elon Musk
@elonmusk
·
Apr 28, 2022
Next I’m buying Coca-Cola to put the cocaine back in
171K
767K
4.3M"
"Elon Musk
@elonmusk
·
Jul 14, 2024
71K
437K
3.3M
244M"
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
157K
396K
2.9M"
"Elon Musk
@elonmusk
·
Nov 6, 2024
The future is gonna be so  
58K
220K
2.6M
160M"
